id,mammal_id,spcrecid,kingdom,phylum,class,order_team,family,genus,species,authority,infraspecific_rank,infraspecific_name,infraspecific_authority,stock_subpopulation,synonyms,common_names_eng,common_names_fre,common_names_spa,red_list_status_id,red_list_criteria,red_list_criteria_version,year_assessed,population_trend,petitioned,mass,guild,wpi_include
6882,,2879,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rougetius,rougetii,"(Guérin-Méneville, 1843)",,,,,,Rouget's Rail,,,9,,,,,,,,
6883,,2880,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Aramidopsis,plateni,"(Blasius, 1886)",,,,,,Snoring Rail,,,5,,,,,,,,
6885,,30093,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Atlantisia,podarces,"(Wetmore, 1963)",,,,,,St Helena Crake,,,1,,,,,,,,
6886,,2881,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Atlantisia,rogersi,"Lowe, 1923",,,,,,Inaccessible Rail,,,5,,,,,,,,
6888,,2882,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Aramides,mangle,"(Spix, 1825)",,,,,,Little Wood-rail,,,8,,,,,,,,
6889,,2883,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Aramides,axillaris,"Lawrence, 1863",,,,,,Rufous-necked Wood-rail,,,8,,,,,,,,
6879,,2876,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Dryolimnas,cuvieri,"(Pucheran, 1845)",,,,,,White-throated Rail,,,8,,,,,,181,Omnivore,f
6884,,30092,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Mundia,elpenor,"(Olson, 1973)",,,,,Atlantisia elpenor (4); Atlantisia elpenor (13);,Ascension Crake,,,1,,,,,,,,
6891,,2885,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Aramides,wolfi,"Berlepsch & Taczanowski, 1884",,,,,,Brown Wood-rail,,,5,,,,,,,,
6892,,2886,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Aramides,ypecaha,"Vieillot, 1819",,,,,,Giant Wood-rail,,,8,,,,,,,,
6893,,2887,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Aramides,saracura,"(Spix, 1825)",,,,,,Slaty-breasted Wood-rail,,,8,,,,,,,,
6895,,2889,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Amaurolimnas,concolor,"(Gosse, 1847)",,,,,,Uniform Crake,,,8,,,,,,,,
6896,,2890,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gymnocrex,rosenbergii,"(Schlegel, 1866)",,,,,,Blue-faced Rail,,,5,,,,,,,,
6897,,30064,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gymnocrex,talaudensis,"Lambert, 1998",,,,,,Talaud Rail,,,4,,,,,,,,
6898,,2891,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gymnocrex,plumbeiventris,"(Gray, 1862)",,,,,,Bare-eyed Rail,,,8,,,,,,,,
6900,,2892,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Amaurornis,akool,"(Sykes, 1832)",,,,,,Brown Crake,,,8,,,,,,,,
6901,,2893,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Amaurornis,olivacea,"(Meyen, 1834)",,,,,Amaurornis olivaceus (10);,Bush-hen,,,8,,,,,,,,
6903,,2894,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Amaurornis,isabellina,"(Schlegel, 1865)",,,,,Amaurornis isabellinus (10);,Isabelline Waterhen,,,8,,,,,,,,
6904,,2895,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Amaurornis,moluccana,"(Wallace, 1865)",,,,,Amaurornis moluccanus (10);,Rufous-tailed Waterhen,,,8,,,,,,,,
6905,,2896,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Amaurornis,phoenicurus,"(Pennant, 1769)",,,,,,White-breasted Waterhen,,,8,,,,,,,,
6906,,2897,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Amaurornis,flavirostra,"(Swainson, 1837)",,,,,Limnocorax flavirostra (1); Limnocorax flavirostra (6); Amaurornis flavirostris (7);,Black Crake,,,8,,,,,,,,
6907,,2898,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Amaurornis,olivieri,"(Grandidier & Berlioz, 1929)",,,,,,Sakalava Rail,,,4,,,,,,,,
6908,,2899,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Amaurornis,bicolor,"(Walden, 1872)",,,,,,Black-tailed Crake,,,8,,,,,,,,
6910,,30094,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porzana,nigra,"(J.F. Miller, 1784)",,,,,,Miller's Rail,,,1,,,,,,,,
6911,,30095,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porzana,astrictocarpus,"Olson, 1973",,,,,,St Helena Rail,,,1,,,,,,,,
6912,,2900,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porzana,parva,"(Scopoli, 1769)",,,,,,Little Crake,,,8,,,,,,,,
6913,,2901,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porzana,pusilla,"(Pallas, 1776)",,,,,,Baillon's Crake,,,8,,,,,,,,
6914,,2902,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porzana,palmeri,"(Frohawk, 1892)",,,,,,Laysan Rail,,,1,,,,,,,,
6915,,2903,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porzana,porzana,"(Linnaeus, 1766)",,,,,,Spotted Crake,,,8,,,,,,,,
6916,,2904,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porzana,fluminea,"Gould, 1843",,,,,,Australian Crake,,,8,,,,,,,,
6917,,2905,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porzana,carolina,"(Linnaeus, 1758)",,,,,,Sora,,,8,,,,,,,,
6918,,2906,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porzana,spiloptera,"Durnford, 1877",,,,,,Dot-winged Crake,,,5,,,,,,,,
6919,,2907,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porzana,albicollis,"(Vieillot, 1819)",,,,,,Ash-throated Crake,,,8,,,,,,,,
6920,,2908,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porzana,sandwichensis,"(Gmelin, 1789)",,,,,,Hawaiian Rail,,,1,,,,,,,,
6921,,2909,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porzana,fusca,"(Linnaeus, 1766)",,,,,,Ruddy-breasted Crake,,,8,,,,,,,,
6922,,2910,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porzana,paykullii,"(Ljungh, 1813)",,,,,,Band-bellied Crake,,,9,,,,,,,,
6923,,2911,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porzana,tabuensis,"(Gmelin, 1789)",,,,,,Spotless Crake,,,8,,,,,,,,
6924,,2912,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porzana,monasa,"(Kittlitz, 1858)",,,,,,Kosrae Crake,,,1,,,,,,,,
6925,,2913,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porzana,atra,"North, 1908",,,,,,Henderson Crake,,,5,,,,,,,,
6926,,2914,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porzana,flaviventer,"(Boddaert, 1783)",,,,,,Yellow-breasted Crake,,,8,,,,,,,,
6927,,2915,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porzana,cinerea,"(Vieillot, 1819)",,,,,Amaurornis cinerea (5);,White-browed Crake,,,8,,,,,,,,
